Agency Name,Fiscal Year,CFDA Obligations,USASpending Obligations,non reported obligations,under reported obligations,under reported percent,over reporting obligations,% of obligations over reported,Total programs
Appalachian Regional Commission,2009,514570996.00,74787681.00,441123660.0,3294935.0,0.6403266071374143287314234866,3894024.00,0.7567515523164076663193819031,5
Architectural and Transportation Barriers Compliance Board,2009,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2009,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2009,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2009,475651695.00,588164666.00,333000.0,1733270.0,0.3643989957819870693407284084,114579241.00,24.08889576226570579129335385,10
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2009,46350000.00,40835800.00,9600000.0,0.0,0E+1,4085800.00,8.815102481121898597626752967,5
Department of Agriculture,2009,94967505794.00,17642346268.00,15507853077.0,63789674357.0,67.17000075306831954849981874,1968902548.00,2.073238137127525032070128878,139
Department of Commerce,2009,1302176675.00,1609290005.00,3707000.0,156581401.0,12.02458959726029495959140875,467401731.00,35.89387983777239751280293820,55
Department of Defense,2009,685379343.00,620563109.00,177138343.0,38060442.0,5.553193627547073591915944277,150382551.00,21.94150619447542935358061995,16
Department of Education,2009,164003731248.00,144637954353.00,7984934508.0,15610961613.0,9.518662468351843214156773561,4230119226.00,2.579282308890509249421610452,168
Department of Energy,2009,12535631045.00,13291384275.00,19467707.0,82926082.0,0.6615229955501613919748225966,859607488.00,6.857313245054908203067650193,26
Department of Health and Human Services,2009,870629981306.00,821269940628.00,3966512284.0,61198704743.0,7.029243887420241929905933218,15875251568.00,1.823421190272602289096432689,282
Department of Homeland Security,2009,14163848919.00,445416037678.00,3395186581.0,950677916.0,6.712002658576225667519773691,435745507634.00,3076.462550016839811788732339,69
Department of Housing and Urban Development,2009,203880062916.00,53766818590.00,162136190248,695362810.0,0.3410646436216248867071249163,12739654602.00,6.248602447826802003771459342,79
Department of Justice,2009,7553796143.00,6729977632.00,705610888.0,555451688.0,7.353278768513358859914893523,437244065.00,5.788401708526223858937941688,98
Department of Labor,2009,152334879788.00,35271057060.00,110660684.0,116996186324,76.80196845713875451842293740,43024280.00,0.02824322312780607634374273433,42
Department of the Interior,2009,4364416179.00,2281879752.00,602123243.0,1395259940.0,31.96899385337009584942242970,51770206.00,1.186188573149820137718814006,130
Department of the Treasury,2009,203600000.00,205355152.00,22000000.0,6079.0,0.002985756385068762278978388998,23761231.00,11.67054567779960707269155206,9
Department of Transportation,2009,6208493885.00,52590461127.00,624146914.0,763072452.0,12.29078205011391422188700440,47769186608.00,769.4166651820741867413468508,58
Department of Veterans Affairs,2009,52839761021.00,142511870.00,52582462021.0,114787130.0,0.2172362777234749068567328864,0,0E+2,26
Environmental Protection Agency,2009,9827691153.00,9223832262.00,23416085.0,657403559.0,6.689298114535488394585287188,76960753.00,0.7831010539693951247228413996,75
Equal Employment Opportunity Commission,2009,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2009,234000000.00,0,234000000.0,0.0,0E+1,0,0E+2,1
Export Import Bank of the United States,2009,0,0,0.0,0.0,0,0,0,0
Federal Communications Commission,2009,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2009,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2009,665192.00,0,665192.0,0.0,0E+1,0,0E+2,1
Federal Trade Commission,2009,0,0,0.0,0.0,0,0,0,0
General Services Administration,2009,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2009,0,0,0.0,0.0,0,0,0,0
Library of Congress,2009,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2009,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2009,8686000.00,8661087.00,25000.0,0.0,0E+1,87.00,0.001001611789085885332719318443,2
National Credit Union Administration,2009,0,0,0.0,0.0,0,0,0,0
National Endowment for the Arts,2009,538240887.00,510670730.00,4351200.0,38377802.0,7.130227919678647527199099611,15158845.00,2.816368166396842311981400997,23
National Gallery of Art,2009,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2009,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2009,3002000000.00,2350554410.00,0.0,651445590.0,21.70038607594936708860759494,0,0E+2,1
Nuclear Regulatory Commission,2009,23472000.00,14623439.00,0.0,8848561.0,37.69836826857532379004771643,0,0E+2,4
Office of Personnel Management,2009,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2009,0,0,0.0,0.0,0,0,0,0
Pension Benefit Guaranty Corporation,2009,0,0,0.0,0.0,0,0,0,0
Railroad Retirement Board,2009,10837540000.00,0,10837540000.0,0.0,0E+1,0,0E+2,2
Securities and Exchange Commission,2009,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2009,0,0,0.0,0.0,0,0,0,0
Social Security Administration,2009,13000000000.00,13119773500.00,0.0,0.0,0E+1,119773500.00,0.9213346153846153846153846154,1
U.S. Department of State,2009,1027470275.00,995319313.00,244216500.0,90723060.0,8.829750330246780131911845333,302786298.00,29.46910537144249744840550253,16
United States Agency for International Development,2009,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2009,30351040.00,0,30351040.0,0.0,0E+1,0,0E+2,3
Various Scholarship and Fellowship Foundations,2009,17161939.00,0,17161939.0,0.0,0E+1,0,0E+2,12
Appalachian Regional Commission,2010,382170176.00,7477786.00,302407764.0,72448026.0,18.95700673408905670336766415,0,0E+2,5
Architectural and Transportation Barriers Compliance Board,2010,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2010,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2010,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2010,607793326.00,622266293.00,243000.0,7243211.0,1.191722694237020957350887397,21959178.00,3.612935032458714428200220152,10
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2010,64651687.00,51056408.00,1700000.0,11895279.0,18.39902336964540461256641300,0,0E+2,4
Department of Agriculture,2010,98815275915.00,47464385568.00,3945441236.0,54996466941.0,55.65583502322804802948062486,7590856274.00,7.681865180976254525494435037,152
Department of Commerce,2010,5425304200.00,5783530493.00,0.0,322388664.0,5.942314976550070685437325339,680614957.00,12.54519436900883825095005733,43
Department of Defense,2010,878050355.00,845847401.00,98450890.0,36511164.0,4.158208443523720231284457484,102759100.00,11.70309873629058552114588007,23
Department of Education,2010,81702800896.00,88054618387.00,25055221.0,14607321963.0,17.87860612219861393379470367,20984194675.00,25.68356830472790160146041709,170
Department of Energy,2010,12957514750.00,12714071838.00,100.0,277463520.0,2.141332850884850430133602588,34020708.00,0.2625558114838341202737199277,26
Department of Health and Human Services,2010,916988340225.00,598039938319.00,8712208739.0,320793481881,34.98337632104323194312947623,10555843694.00,1.151142629731794526755210684,259
Department of Homeland Security,2010,12934916274.00,235790299547.13,4254389460.0,2019422349.87,15.61217952318073118128325351,229552515986.00,1774.673381128991759255047189,71
Department of Housing and Urban Development,2010,44731342022.00,37295654977.00,5440866809.0,9047247841.0,20.22574649459507781185970875,7119961661.00,15.91716532336146684099144017,74
Department of Justice,2010,3923149228.00,2657115304.00,1010435846.0,503155537.0,12.82529691730604747722331606,247557459.00,6.310171869913891534487405433,93
Department of Labor,2010,192667521036.00,10373350664.00,1070192258.0,181312062819,94.10618969095562905553550644,88087643.00,0.04572002718794559577705864888,43
Department of the Interior,2010,7326781569.00,597140763.00,5620249116.0,1173812145.0,16.02084262981799833153999681,63695640.00,0.8693536090866911989962178167,159
Department of the Treasury,2010,250400000.00,160866743.00,110400000.0,592546.0,0.2366397763578274760383386581,21459289.00,8.570003594249201277955271565,9
Department of Transportation,2010,7107626088.00,8289174572.00,503484474.0,867412795.0,12.20397336973700409435494210,2552445753.00,35.91136789411818029221010423,56
Department of Veterans Affairs,2010,22821697810.00,989662978.00,18784072860.0,3081742904.0,13.50356546500954654433749160,33780932.00,0.1480211169267077417322090113,12
Environmental Protection Agency,2010,5258398840.00,4434013132.00,9800000.0,945353822.0,17.97797867306695206862627408,130768114.00,2.486842820009446069328586722,78
Equal Employment Opportunity Commission,2010,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2010,239000000.00,0,239000000.0,0.0,0E+1,0,0E+2,1
Export Import Bank of the United States,2010,0,0,0.0,0.0,0,0,0,0
Federal Communications Commission,2010,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2010,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2010,349000.00,0,349000.0,0.0,0E+1,0,0E+2,1
Federal Trade Commission,2010,0,0,0.0,0.0,0,0,0,0
General Services Administration,2010,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2010,0,0,0.0,0.0,0,0,0,0
Library of Congress,2010,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2010,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2010,9931800.00,9710724.00,75000.0,146076.0,1.470790793209690086389174168,0,0E+2,2
National Credit Union Administration,2010,0,0,0.0,0.0,0,0,0,0
National Endowment for the Arts,2010,257173037.00,249703596.00,0.0,10537756.0,4.097535310437695690470070546,3068315.00,1.193093582357158227283367968,11
National Gallery of Art,2010,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2010,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2010,6412760000.00,6871865063.00,0.0,400417272.0,6.244070758924394488488575902,859522335.00,13.40331362782951490465883644,12
Nuclear Regulatory Commission,2010,22405790.00,17683265.00,0.0,5042773.0,22.50656191993230321269636107,320248.00,1.429309120544287882730312120,3
Office of Personnel Management,2010,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2010,0,0,0.0,0.0,0,0,0,0
Pension Benefit Guaranty Corporation,2010,0,0,0.0,0.0,0,0,0,0
Railroad Retirement Board,2010,10952388000.00,0,10952388000.0,0.0,0E+1,0,0E+2,2
Securities and Exchange Commission,2010,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2010,56098000.00,60000.00,56098000.0,0.0,0E+1,0,0E+2,2
Social Security Administration,2010,0,128079250.00,0.0,0.0,0,128079250.00,0,1
U.S. Department of State,2010,4231881895.00,460458968.00,3538000823.0,251765706.0,5.949261161977678490954199940,18033602.00,0.4261367034204530889915111868,34
United States Agency for International Development,2010,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2010,5629500.00,0,5629500.0,0.0,0E+1,0,0E+2,3
Various Scholarship and Fellowship Foundations,2010,1121055.00,0,1121055.0,0.0,0E+1,0,0E+2,8
Appalachian Regional Commission,2011,508287920.00,66655368.00,433107168.0,12864919.0,2.531029854103162632706281904,4099535.00,0.8065379558892526896960289751,5
Architectural and Transportation Barriers Compliance Board,2011,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2011,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2011,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2011,216297000.00,209090638.00,0.0,7815519.0,3.613327508009819831065618108,609157.00,0.2816298885328968963970836396,6
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2011,42350000.00,8355515.00,42350000.0,0.0,0E+1,8463074.00,19.98364580873671782762691854,4
Department of Agriculture,2011,118632924723.00,49554452543.00,3706752392.0,73016457964.0,61.54822376206991425098358021,7644750604.00,6.444037877216620023395728854,172
Department of Commerce,2011,865213679.00,1008181039.00,0.0,16443539.0,1.900517687030234758921327687,159410899.00,18.42445431332576053735738498,49
Department of Defense,2011,504000000.00,710957757.00,25500000.0,38713026.0,7.681155952380952380952380952,271198655.00,53.80925694444444444444444444,21
Department of Education,2011,84278898341.00,58006843193.00,2632490563.0,25073072823.0,29.75011932589827301572795721,1469643587.00,1.743785948712440348817302299,171
Department of Energy,2011,3496641183.00,2036350221.00,100.0,1505051346.0,43.04277354271497751217786306,44760484.00,1.280099434211805998739791197,25
Department of Health and Human Services,2011,1187496961927.00,373589577641.00,800256132838,20828602974.0,1.753992106236682249091326774,7170343044.00,0.6038199063991195736357056288,262
Department of Homeland Security,2011,7882372188.00,1268257827739.47,737454838.0,1569289320.0,19.90884574556199578430766685,1263558653238.47,16030.18257831179184100714022,58
Department of Housing and Urban Development,2011,43244514041.00,19790814067.00,4218648508.0,22091297281.0,51.08462372835385378911859189,2856245815.00,6.604874348436431768295657051,61
Department of Justice,2011,3203409007.00,2134523826.00,1140098271.0,229333915.0,7.159058193907363262901632967,300547005.00,9.382099018366155202609755289,93
Department of Labor,2011,126095248145.00,9381476723.76,2338018145.0,114819446621,91.05771098445067420189103590,533711056.19,0.4232602449667830819430757067,42
Department of the Interior,2011,7575209424.00,676453612.00,6970662887.0,126265975.0,1.666831475311566250897620068,198173050.00,2.616073548701404192360187348,172
Department of the Treasury,2011,1233482000.00,289724171.00,1033932000.0,95175.0,0.007715961805685044451398561146,90269346.00,7.318254015867276539098260048,9
Department of Transportation,2011,6805640965.00,7186110084.00,705442553.0,594403118.0,8.733977020781612742628717264,1682478116.00,24.72181716097919367687360804,54
Department of Veterans Affairs,2011,21807169480.00,8209008606.00,8626638000.0,5249370454.0,24.07176437462162558476158548,277847580.00,1.274111159886303593766539572,7
Environmental Protection Agency,2011,5440274200.00,4494988950.00,1402745.0,1037921475.0,19.07847723925385966758807856,94038970.00,1.728570409190036781601927344,79
Equal Employment Opportunity Commission,2011,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2011,218932000.00,0,218932000.0,0.0,0E+1,0,0E+2,3
Export Import Bank of the United States,2011,0,0,0.0,0.0,0,0,0,0
Federal Communications Commission,2011,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2011,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2011,750000.00,0,750000.0,0.0,0E+1,0,0E+2,1
Federal Trade Commission,2011,0,0,0.0,0.0,0,0,0,0
General Services Administration,2011,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2011,0,0,0.0,0.0,0,0,0,0
Library of Congress,2011,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2011,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2011,7855000.00,12309515.00,25000.0,0.0,0E+1,4479515.00,57.02756206238064926798217696,2
National Credit Union Administration,2011,0,0,0.0,0.0,0,0,0,0
National Endowment for the Arts,2011,243511981.00,231774333.00,0.0,12019634.0,4.935951796145915300980611710,281986.00,0.1157996410862428982498401177,11
National Gallery of Art,2011,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2011,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2011,6355066000.00,6136087386.00,0.0,412333440.0,6.488263693878238243316434479,193354826.00,3.042530573246603575792918594,11
Nuclear Regulatory Commission,2011,10775000.00,8621585.00,0.0,2188330.0,20.30932714617169373549883991,34915.00,0.3240371229698375870069605568,3
Office of Personnel Management,2011,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2011,0,0,0.0,0.0,0,0,0,0
Pension Benefit Guaranty Corporation,2011,0,0,0.0,0.0,0,0,0,0
Railroad Retirement Board,2011,11061041000.00,10952518897.00,41000.0,108481103.0,0.9807494882262890084215400702,0,0E+2,2
Securities and Exchange Commission,2011,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2011,5000000.00,5950896.00,0.0,66604.0,1.3320800,1017500.00,20.3500,2
Social Security Administration,2011,0,0,0.0,0.0,0,0,0,0
U.S. Department of State,2011,2588846248.00,2343088008.00,1906808232.0,85470593.0,3.301493592600559876895400704,1746520585.00,67.46327968875191386027803996,32
United States Agency for International Development,2011,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2011,4800000.00,0,4800000.0,0.0,0E+1,0,0E+2,2
Various Scholarship and Fellowship Foundations,2011,555000.00,0,555000.0,0.0,0E+1,0,0E+2,4
