Agency Name,Fiscal Year,CFDA Obligations,USASpending Obligations,non reported obligations,under reported obligations,under reported percent,over reporting obligations,% of obligations over reported,Total programs
Appalachian Regional Commission,2007,0,0,0.0,0.0,0,0,0,0
Architectural and Transportation Barriers Compliance Board,2007,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2007,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2007,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2007,0,0,0.0,0.0,0,0,0,0
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2007,0,0,0.0,0.0,0,0,0,0
Department of Agriculture,2007,90395475734.00,14280994603.00,16072147300.0,60246357823.0,66.64753665358479610034417832,204023992.00,0.2257015523657026036267223435,27
Department of Commerce,2007,59000000.00,43053500.00,0.0,15946500.0,27.02796610169491525423728814,0,0E+2,1
Department of Defense,2007,0,0,0.0,0.0,0,0,0,0
Department of Education,2007,0,0,0.0,0.0,0,0,0,0
Department of Energy,2007,0,0,0.0,0.0,0,0,0,0
Department of Health and Human Services,2007,93757563.00,0,93757563.0,0.0,0E+1,0,0E+2,8
Department of Homeland Security,2007,128084050.00,0,128084050.0,0.0,0E+1,0,0E+2,1
Department of Housing and Urban Development,2007,95534573295.00,0,95534573295.0,0.0,0E+1,0,0E+2,17
Department of Justice,2007,0,0,0.0,0.0,0,0,0,0
Department of Labor,2007,0,0,0.0,0.0,0,0,0,0
Department of the Interior,2007,85485456.00,0,85485456.0,0.0,0E+1,0,0E+2,1
Department of the Treasury,2007,0,0,0.0,0.0,0,0,0,0
Department of Transportation,2007,969635000.00,766000000.00,187635000.0,16000000.0,1.650105452051545169058460142,0,0E+2,4
Department of Veterans Affairs,2007,24199371116.00,0,24199371116.0,0.0,0E+1,0,0E+2,6
Environmental Protection Agency,2007,0,0,0.0,0.0,0,0,0,0
Equal Employment Opportunity Commission,2007,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2007,0,0,0.0,0.0,0,0,0,0
Export Import Bank of the United States,2007,0,0,0.0,0.0,0,0,0,0
Federal Communications Commission,2007,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2007,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2007,0,0,0.0,0.0,0,0,0,0
Federal Trade Commission,2007,0,0,0.0,0.0,0,0,0,0
General Services Administration,2007,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2007,0,0,0.0,0.0,0,0,0,0
Library of Congress,2007,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2007,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2007,0,0,0.0,0.0,0,0,0,0
National Credit Union Administration,2007,275300000.00,5684203.00,268000000.0,1615797.0,0.5869222666182346531057028696,0,0E+2,2
National Endowment for the Arts,2007,0,0,0.0,0.0,0,0,0,1
National Gallery of Art,2007,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2007,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2007,0,0,0.0,0.0,0,0,0,0
Nuclear Regulatory Commission,2007,0,0,0.0,0.0,0,0,0,0
Office of Personnel Management,2007,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2007,3150000000.00,0,3150000000.0,0.0,0E+1,0,0E+2,2
Pension Benefit Guaranty Corporation,2007,4890000000.00,0,4890000000.0,0.0,0E+1,0,0E+2,1
Railroad Retirement Board,2007,0,0,0.0,0.0,0,0,0,0
Securities and Exchange Commission,2007,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2007,23409008000.00,24337864241.00,563453000.0,1920805200.0,8.205410498385920496930070680,3413114441.00,14.58034633932373383784567035,8
Social Security Administration,2007,0,0,0.0,0.0,0,0,0,0
U.S. Department of State,2007,500000.00,0,500000.0,0.0,0E+1,0,0E+2,1
United States Agency for International Development,2007,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2007,0,0,0.0,0.0,0,0,0,0
Various Scholarship and Fellowship Foundations,2007,0,0,0.0,0.0,0,0,0,0
Appalachian Regional Commission,2008,0,0,0.0,0.0,0,0,0,0
Architectural and Transportation Barriers Compliance Board,2008,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2008,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2008,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2008,0,0,0.0,0.0,0,0,0,0
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2008,0,0,0.0,0.0,0,0,0,0
Department of Agriculture,2008,39180702552.00,14575167229.00,18252745700.0,6882605015.0,17.56631343163261816337019112,529815392.00,1.352235558555484066553294407,23
Department of Commerce,2008,37857682.00,31721799.00,0.0,6135883.0,16.20776200719315038886955625,0,0E+2,1
Department of Defense,2008,0,0,0.0,0.0,0,0,0,0
Department of Education,2008,106272000000.00,942574727287.00,73097000000.0,0.0,0E+1,909399727287.00,855.7284395579268292682926829,2
Department of Energy,2008,0,0,0.0,0.0,0,0,0,1
Department of Health and Human Services,2008,27954471.00,0,27954471.0,0.0,0E+1,0,0E+2,6
Department of Homeland Security,2008,142400000.00,0,142400000.0,0.0,0E+1,0,0E+2,2
Department of Housing and Urban Development,2008,184755603728.00,0,184755603728.0,0.0,0E+1,0,0E+2,33
Department of Justice,2008,0,0,0.0,0.0,0,0,0,0
Department of Labor,2008,0,0,0.0,0.0,0,0,0,1
Department of the Interior,2008,84172203.00,0,84172203.0,0.0,0E+1,0,0E+2,1
Department of the Treasury,2008,0,0,0.0,0.0,0,0,0,0
Department of Transportation,2008,2399468000.00,2199768625.00,8468000.0,191231375.0,7.969740584162822759044921624,0,0E+2,4
Department of Veterans Affairs,2008,34779262896.00,0,34779262896.0,0.0,0E+1,0,0E+2,6
Environmental Protection Agency,2008,0,0,0.0,0.0,0,0,0,0
Equal Employment Opportunity Commission,2008,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2008,0,0,0.0,0.0,0,0,0,0
Export Import Bank of the United States,2008,14398900000.00,12399132948.00,0.0,1999767052.0,13.88833210870274812659300363,0,0E+2,1
Federal Communications Commission,2008,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2008,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2008,0,0,0.0,0.0,0,0,0,0
Federal Trade Commission,2008,0,0,0.0,0.0,0,0,0,0
General Services Administration,2008,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2008,0,0,0.0,0.0,0,0,0,0
Library of Congress,2008,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2008,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2008,0,0,0.0,0.0,0,0,0,0
National Credit Union Administration,2008,276500000.00,2089651.00,274000000.0,410349.0,0.1484083182640144665461121157,0,0E+2,2
National Endowment for the Arts,2008,0,0,0.0,0.0,0,0,0,1
National Gallery of Art,2008,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2008,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2008,0,0,0.0,0.0,0,0,0,0
Nuclear Regulatory Commission,2008,0,0,0.0,0.0,0,0,0,0
Office of Personnel Management,2008,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2008,1374000000.00,0,1374000000.0,0.0,0E+1,0,0E+2,1
Pension Benefit Guaranty Corporation,2008,4606000000.00,0,4606000000.0,0.0,0E+1,0,0E+2,1
Railroad Retirement Board,2008,0,0,0.0,0.0,0,0,0,0
Securities and Exchange Commission,2008,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2008,30418334000.00,15193075686.00,1012089000.0,14238556880.0,46.80912794237843532127696408,25387566.00,0.08346139535452533330720873799,8
Social Security Administration,2008,0,0,0.0,0.0,0,0,0,0
U.S. Department of State,2008,0,0,0.0,0.0,0,0,0,0
United States Agency for International Development,2008,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2008,0,0,0.0,0.0,0,0,0,0
Various Scholarship and Fellowship Foundations,2008,0,0,0.0,0.0,0,0,0,0
Appalachian Regional Commission,2009,0,0,0.0,0.0,0,0,0,0
Architectural and Transportation Barriers Compliance Board,2009,0,0,0.0,0.0,0,0,0,0
Commission on Civil Rights,2009,0,0,0.0,0.0,0,0,0,0
Commodity Futures Trading Commission,2009,0,0,0.0,0.0,0,0,0,0
Corporation for National and Community Service,2009,0,0,0.0,0.0,0,0,0,0
"Denali Commission, Delta Regional Authority, Japan US Friendship Commission, US Election Assistance Commission, Broadcasting Board of Governors",2009,0,0,0.0,0.0,0,0,0,0
Department of Agriculture,2009,35600212405.00,29991872944.00,8500000.0,12798072636.0,35.94942774611796589363635849,7198233175.00,20.21963547045864879861522276,23
Department of Commerce,2009,67000000.00,55695467.00,0.0,11304533.0,16.87243731343283582089552239,0,0E+2,1
Department of Defense,2009,0,0,0.0,0.0,0,0,0,0
Department of Education,2009,118020000000.00,5211789108874.00,76845000000.0,0.0,0E+1,5170614108874.00,4381.133798401965768513811218,2
Department of Energy,2009,0,0,0.0,0.0,0,0,0,1
Department of Health and Human Services,2009,37456011.00,0,37456011.0,0.0,0E+1,0,0E+2,4
Department of Homeland Security,2009,177680052.00,0,177680052.0,0.0,0E+1,0,0E+2,2
Department of Housing and Urban Development,2009,320416111848.00,0,320416111848.0,0.0,0E+1,0,0E+2,32
Department of Justice,2009,0,0,0.0,0.0,0,0,0,0
Department of Labor,2009,2004535.00,0,2004535.0,0.0,0E+1,0,0E+2,1
Department of the Interior,2009,84172203.00,0,84172203.0,0.0,0E+1,0,0E+2,1
Department of the Treasury,2009,0,0,0.0,0.0,0,0,0,0
Department of Transportation,2009,649531000.00,0,649531000.0,0.0,0E+1,0,0E+2,3
Department of Veterans Affairs,2009,35834994540.00,0,35834994540.0,0.0,0E+1,0,0E+2,6
Environmental Protection Agency,2009,0,0,0.0,0.0,0,0,0,0
Equal Employment Opportunity Commission,2009,0,0,0.0,0.0,0,0,0,0
Executive Office of the President,2009,0,0,0.0,0.0,0,0,0,0
Export Import Bank of the United States,2009,17500000000.00,14350394752.00,0.0,3149605248.0,17.99774427428571428571428571,0,0E+2,1
Federal Communications Commission,2009,0,0,0.0,0.0,0,0,0,0
Federal Maritime Commission,2009,0,0,0.0,0.0,0,0,0,0
Federal Mediation and Concillation Service,2009,0,0,0.0,0.0,0,0,0,0
Federal Trade Commission,2009,0,0,0.0,0.0,0,0,0,0
General Services Administration,2009,0,0,0.0,0.0,0,0,0,0
Government Printing Office,2009,0,0,0.0,0.0,0,0,0,0
Library of Congress,2009,0,0,0.0,0.0,0,0,0,0
National Aeronautics and Space Administration,2009,0,0,0.0,0.0,0,0,0,0
National Archives and Records Administration,2009,0,0,0.0,0.0,0,0,0,0
National Credit Union Administration,2009,0,0,0.0,0.0,0,0,0,0
National Endowment for the Arts,2009,0,0,0.0,0.0,0,0,0,1
National Gallery of Art,2009,0,0,0.0,0.0,0,0,0,0
National Labor Relations Board,2009,0,0,0.0,0.0,0,0,0,0
National Science Foundation,2009,0,0,0.0,0.0,0,0,0,0
Nuclear Regulatory Commission,2009,0,0,0.0,0.0,0,0,0,0
Office of Personnel Management,2009,0,0,0.0,0.0,0,0,0,0
Overseas Private Investment Corporation,2009,2000000000.00,0,2000000000.0,0.0,0E+1,0,0E+2,1
Pension Benefit Guaranty Corporation,2009,0,0,0.0,0.0,0,0,0,0
Railroad Retirement Board,2009,0,0,0.0,0.0,0,0,0,0
Securities and Exchange Commission,2009,0,0,0.0,0.0,0,0,0,0
Small Business Administraton,2009,29699755000.00,9763664191.00,1273234000.0,18690176783.0,62.93040728113750433294820109,27319974.00,0.09198720326144104555744651766,11
Social Security Administration,2009,0,0,0.0,0.0,0,0,0,0
U.S. Department of State,2009,0,0,0.0,0.0,0,0,0,0
United States Agency for International Development,2009,0,0,0.0,0.0,0,0,0,0
United States Institute of Peace,2009,0,0,0.0,0.0,0,0,0,0
Various Scholarship and Fellowship Foundations,2009,0,0,0.0,0.0,0,0,0,0
