CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation
23.001,Appalachian Regional Development (See individual Appalachian Programs),consistency,66000000.00
23.002,Appalachian Area Development,consistency,66000000.00
23.009,Appalachian Local Development District Assistance,consistency,7000000.00
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,1000000.00
94.002,Retired and Senior Volunteer Program,consistency,56870000.00
94.003,State Commissions,consistency,11789999.00
94.006,AmeriCorps,consistency,252590695.00
94.007,Planning and Program Development Grants,consistency,1.00
94.011,Foster Grandparent Program,consistency,108574000.00
94.016,Senior Companion Program,consistency,45494000.00
94.017,Senior Demonstration Program,consistency,333000.00
90.100,Denali Commission Program,consistency,36000000.00
90.201,Delta Area Economic Development,consistency,8000000.00
90.202,Delta Local Development District Assistance,consistency,396000.00
90.300,Japan-US Friendship Commission Grants,consistency,1600000.00
90.400,Help America Vote College Program,completeness,750000.00
90.500,International Broadcasting Independent Grantee Organizations,consistency,232785000.00
10.086,Aquaculture Grants Program (AGP),consistency,50000000.00
10.202,Cooperative Forestry Research,consistency,26004126.00
10.203,Payments to Agricultural Experiment Stations Under the Hatch Act,consistency,195318449.00
10.205,Payments to 1890 Land-Grant Colleges and Tuskegee University,consistency,42926170.00
10.207,Animal Health and Disease Research,consistency,2725600.00
10.222,Tribal Colleges Endowment Program,consistency,3669843.00
10.500,Cooperative Extension Service,consistency,453461047.00
10.555,National School Lunch Program,consistency,8983711452.00
10.556,Special Milk Program for Children,consistency,14941000.00
10.558,Child and Adult Care Food Program,consistency,2386780000.00
10.559,Summer Food Service Program for Children,consistency,328934000.00
10.560,State Administrative Expenses for Child Nutrition,consistency,178994000.00
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,consistency,2723000000.00
10.565,Commodity Supplemental Food Program,consistency,164579000.00
10.568,Emergency Food Assistance Program (Administrative Costs),consistency,0.00
10.221,Tribal Colleges Education Equity Grants,consistency,3342000.00
10.553,School Breakfast Program,consistency,2633048000.00
10.001,Agricultural Research_Basic and Applied Research,consistency,23616205.00
10.156,Federal-State Marketing Improvement Program,consistency,1334000.00
10.168,Farmers' Market Promotion Program,consistency,5000000.00
10.169,Specialty Crop Block Grant Program,consistency,0.00
10.170,Specialty Crop Block Grant Program - Farm Bill,consistency,49000000.00
10.200,"Grants for Agricultural Research, Special Research Grants",consistency,93608517.00
10.206,Grants for Agricultural Research_Competitive Research Grants,consistency,0.00
10.210,Food and Agricultural Sciences National Needs Graduate Fellowship Grants,consistency,3652640.00
10.212,Small Business Innovation Research,consistency,15833247.00
10.215,Sustainable Agriculture Research and Education,consistency,13477464.00
10.216,1890 Institution Capacity Building Grants,consistency,14192980.00
10.217,Higher Education Challenge Grants,consistency,5397840.00
10.219,Biotechnology Risk Assessment Research,consistency,2391511.00
10.220,Higher Education Multicultural Scholars Program,consistency,896760.00
10.223,Hispanic Serving Institutions Education Grants,consistency,5959520.00
10.225,Community Food Projects,timeliness,9600000.00
10.226,Secondary and Two-Year Postsecondary Agriculture Education Challenge Grants,consistency,925680.00
10.227,1994 Institutions Research Program,consistency,1505960.00
10.228,Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants,consistency,3068180.00
10.290,Agricultural Market and Economic Research,consistency,616000.00
10.303,Integrated Programs,consistency,54021796.00
10.305,International Science and Education Grants,consistency,2861000.00
10.306,BIODIESEL,completeness,960000.00
10.307,Organic Agriculture Research and Extension Initiative,consistency,17221900.00
10.308,Resident Instruction Grants for Insular Area Activities,consistency,765500.00
10.309,Specialty Crop Research Initiative,consistency,46800000.00
10.310,Agriculture and Food Research Initiative (AFRI) ,consistency,175778719.00
10.311,Beginning Farmer and Rancher Development Program,consistency,17280000.00
10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI),consistency,19200000.00
10.314,NEW ERA RURAL TECHNOLOGY COMPETITIVE GRANTS PROGRAM    ,consistency,702000.00
10.316,Healthy Urban Food Enterprise Development Center (HUFED),timeliness,900000.00
10.417,Very Low-Income Housing Repair Loans and Grants,consistency,31877000.00
10.420,Rural Self-Help Housing Technical Assistance,consistency,43000000.00
10.433,Rural Housing Preservation Grants,consistency,10088166.00
10.444,Direct Housing_Natural Disaster Loans and Grants,consistency,12000.00
10.446,Rural Community Development Initiative,consistency,10752839.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),consistency,71000000.00
10.459,Commodity Partnerships for Small Agricultural Risk Management Education Sessions,consistency,500000.00
10.576,Senior Farmers Market Nutrition Program,consistency,20600000.00
10.579,Child Nutrition Discretionary Grants Limited Availability,consistency,100000000.00
10.582,Fresh Fruit and Vegetable Program ,consistency,65000000.00
10.672,"Rural Development, Forestry, and Communities",consistency,850000.00
10.675,Urban and Community Forestry Program,consistency,23912000.00
10.681,Wood  Education and Resource  Center (WERC),consistency,1000000.00
10.685,Community Wood Energy Program,consistency,5000000.00
10.686,Forest Biomass for Energy,consistency,15000000.00
10.690,Lake Tahoe Erosion Control Grant Program,consistency,9000000.00
10.759,Part 1774  Special Evaluation Assistance for Rural Communities and Households Program (SEARCH),consistency,5000000.00
10.760,Water and Waste Disposal Systems for Rural Communities,consistency,286000000.00
10.761,Technical Assistance and Training Grants,consistency,19000000.00
10.763,Emergency Community Water Assistance Grants,timeliness,4539600.00
10.766,Community Facilities Loans and Grants,consistency,20725892.00
10.770,Water and Waste Disposal Loans and Grants (Section 306C),consistency,40500000.00
10.773,Rural Business Opportunity Grants,consistency,2634600.00
10.781,Water and Waste Disposal Systems for Rural Communities - ARRA,consistency,580000000.00
10.783,Rural Business Enterprise Grants - ARRA,consistency,38227000.00
10.855,Distance Learning and Telemedicine Loans and Grants,consistency,34966000.00
10.858,Denali Commmission Grants and Loans,timeliness,8500000.00
10.859,Assistance to High Energy Cost Rural Communities,consistency,18000000.00
10.861,Public Television Station Digital Transition Grant Program,timeliness,5086460.00
