CFDA number,CFDA Program Title,Failed Metric,CFDA Program Obligation,USASpending Obligation
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",consistency,931978.00,285090.00
23.009,Appalachian Local Development District Assistance,consistency,7022670.00,704407.00
23.001,Appalachian Regional Development (See individual Appalachian Programs),consistency,71807764.00,
23.003,Appalachian Development Highway System,consistency,230600000.00,163400.00
23.002,Appalachian Area Development,consistency,71807764.00,6324889.00
94.017,Senior Demonstration Program,consistency,243000.00,
94.007,Program Development and Innovation Grants,consistency,1.00,19497955.00
90.403,U.S. Election Assistance Commission Research Grants,consistency,8000000.00,500000.00
90.300,Japan-U.S. Friendship Commission Grants,consistency,1700000.00,
10.086,Aquaculture Grants Program (AGP),consistency,0.00,1082953.00
10.665,Schools and Roads - Grants to States,consistency,450000000.00,4108564.00
10.222,Tribal Colleges Endowment Program,consistency,4267000.00,
10.559,Summer Food Service Program for Children,consistency,375768054.00,62902266.00
10.558,Child and Adult Care Food Program,consistency,2583811401.00,444225082.00
10.553,School Breakfast Program,consistency,2895355659.00,
10.555,National School Lunch Program,consistency,9947829916.00,15265606033.00
10.556,Special Milk Program for Children,consistency,12063656.00,
10.565,Commodity Supplemental Food Program,consistency,181891603.00,38526651.00
10.568,Emergency Food Assistance Program (Administrative Costs),consistency,80500000.00,125274111.00
10.569,Emergency Food Assistance Program (Food Commodities),consistency,307993786.00,-588.00
10.093,Voluntary Public Access and Habitat Incentive Program,consistency,11756000.00,
10.500,Cooperative Extension Service,consistency,297465000.00,530504926.00
10.666,Schools and Roads - Grants to Counties,consistency,14653565.00,219300.00
10.678,Forest Stewardship Program,consistency,136206000.00,12868009.00
10.674,Forest Products Lab: Technology Marketing Unit  (TMU),timeliness,4226784.00
10.675,Urban and Community Forestry Program,consistency,30337000.00,9154235.00
10.672,"Rural Development, Forestry, and Communities",consistency,800000.00,4087041.00
10.695,Eastern Nevada Landscape Restoration Project (ENLRP),consistency,140000.00,
10.690,Lake Tahoe Erosion Control Grant Program,completeness,10000000.00
10.219,Biotechnology Risk Assessment Research,consistency,3810820.00,6124175.00
10.855,Distance Learning and Telemedicine Loans and Grants,consistency,0.00,-1409091.00
10.684,International Forestry Programs,consistency,2509098.00,5523296.00
10.686,Forest Biomass for Energy,consistency,15000000.00,
10.689,Community Forest and Open Space Conservation Program (CFP),consistency,500000.00,
10.206,Grants for Agricultural Research_Competitive Research Grants,consistency,0.00,-1004114.00
10.443,Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers,consistency,19000000.00,-81157.00
10.447,The Rural Development (RD) Multi-Family Housing  Revitalization Demonstration Program  (MPR),consistency,172616712.00,243301.00
10.446,Rural Community Development Initiative,consistency,6511766.00,
10.444,Direct Housing_Natural Disaster Loans and Grants,consistency,1711000.00,3363691.00
10.308,Resident Instruction Grants for Insular Area Activities,consistency,900000.00,1543754.00
10.220,Higher Education Multicultural Scholars Program,consistency,2230000.00,958000.00
10.312,Biomass Research and Development Initiative Competitive Grants Program (BRDI),consistency,28800000.00,
10.760,Water and Waste Disposal Systems for Rural Communities,consistency,54907138.00,605226399.00
10.567,Food Distribution Program on Indian Reservations,consistency,0.00,37536621.00
10.961,Scientific Cooperation and Research,consistency,350000.00,
10.777,Norman E. Borlaug International Agricultural Science and Technology Fellowship,consistency,1128449.00,
10.578,WIC Grants To States (WGS) ,consistency,60000000.00,99313940.00
10.169,Specialty Crop Block Grant Program,timeliness,843000.00
10.170,Specialty Crop Block Grant Program - Farm Bill,timeliness,55000000.00
10.001,Agricultural Research_Basic and Applied Research,consistency,26337553.00,149608099.00
10.322,Distance Education Grants for Institutions of Higher Education in Insular Areas,consistency,750000.00,
10.614,Scientific Cooperation Exchange Program with China,consistency,350000.00,
10.613,Faculty Exchange Program,consistency,600000.00,
10.435,State Mediation Grants,consistency,4369000.00,385729.00
10.417,Very Low-Income Housing Repair Loans and Grants,completeness,31781000.00
10.479,Food Safety Cooperative Agreements,consistency,9475334.00,
10.089,Livestock Forage Disaster Program,timeliness,263262939.00
10.866,Repowering Assistance ,consistency,0.00,1955272.00
10.694,Southwest Forest Health and Wildfire Prevention,completeness,2000000.00
10.856,1890 Land Grant Institutions Rural Entrepreneurial Outreach Program,consistency,1500000.00,
10.088,Livestock Indemnity Program,timeliness,89438406.00
10.069,Conservation Reserve Program,timeliness,1841396000.00
10.683,National Fish and Wildlife Foundation,completeness,3000000.00
10.448,Rural Development Multi-Family Housing Rural Housing Voucher Demonstration Program,consistency,7600000.00,
10.054,Emergency Conservation Program,timeliness,92502221.00
10.055,Direct and Counter-cyclical Payments Program,timeliness,5800669000.00
10.313,Veterinary Medicine Loan Repayment Program ,consistency,9382000.00,
10.778,Research on the Economic Impact of Cooperatives,consistency,300000.00,
10.171,Organic Certification Cost Share Programs,consistency,6200000.00,1045000.00
10.912,Environmental Quality Incentives Program,consistency,856697477.00,325479815.00
10.914,Wildlife Habitat Incentive Program,consistency,62602140.00,24366531.00
10.917,Agricultural Management Assistance,consistency,6048438.00,2650409.00
10.925,Agricultural Water Enhancement Program,consistency,60813288.00,
10.926,Chesapeake Bay Watershed Program,consistency,33517619.00,
10.920,Grassland Reserve Program,consistency,93407727.00,15357478.00
10.921,Conservation Security Program ,consistency,199927828.00,73660082.00
10.551,Supplemental Nutrition Assistance Program,consistency,54386581749.00,10720170572.00
10.090,Supplemental Revenue Assistance Program,timeliness,1884321731.00
10.091,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program",timeliness,21460176.00
10.087,Biomass Crop Assistance Program,consistency,244074948.00,
10.085,Tobacco Transition Payment Program,timeliness,954091000.00
10.451,Noninsured Assistance,consistency,98745000.00,
10.053,Dairy Indemnity Program,timeliness,161969.00
10.609,Trade Adjustment Assistance,consistency,61.00,
10.095,Durum Wheat Quality Program,consistency,2849958.00,
10.450,Crop Insurance,consistency,7328776262.00,729091833.00
11.431,Climate and Atmospheric Research,consistency,35000000.00,80333560.00
11.430,Undersea Research,consistency,8000000.00,13402268.00
11.437,Pacific Fisheries Data Program,consistency,0.00,21191903.00
11.439,Marine Mammal Data Program,consistency,0.00,9639860.00
11.008,NOAA Mission-Related Education Awards,timeliness,5000000.00
11.553,Special Projects,consistency,6700.00,26863981.00
11.559,Low-Power Television and Translator Upgrade Program,consistency,44166000.00,6879736.00
11.011,Ocean Exploration,consistency,18607000.00,1177180.00
11.012,Integrated Ocean Observing System (IOOS),consistency,14555000.00,4815278.00
11.455,Cooperative Science and Education Program,consistency,0.00,643635.00
11.457,Chesapeake Bay Studies,consistency,0.00,8176343.00
11.452,Unallied Industry Projects,consistency,0.00,11454570.00
11.459,Weather and Air Quality Research,consistency,500000.00,888400.00
11.609,Measurement and Engineering Research and Standards,consistency,44897000.00,112597045.00
11.469,Congressionally Identified Awards and  Projects,consistency,0.00,23382867.00
11.474,Atlantic Coastal Fisheries Cooperative Management Act,consistency,0.00,9403615.00
11.472,Unallied Science Program,consistency,0.00,44211143.00
11.400,Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),consistency,6500000.00,17409883.00
11.312,Research and Evaluation Program,consistency,1500000.00,2393689.00
11.417,Sea Grant Support,consistency,28000000.00,73958166.00
11.307,Economic Adjustment Assistance,consistency,135000000.00,377346440.00
11.426,Financial Assistance for National Centers for Coastal Ocean Science,consistency,15000000.00,5078859.00
11.429,Marine Sanctuary Program,consistency,7185500.00,13809760.00
